created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2021-08-27 19:43:09 +08,106,31.67,64.45,,,,
2021-08-27 19:43:26 +08,107,31.65,64.43,,,,
2021-08-27 19:45:18 +08,108,31.64,64.63,,,,
2021-08-27 19:46:21 +08,109,31.51,61.99,,,,
2021-08-27 19:46:37 +08,110,31.50,62.10,,,,
2021-08-27 19:47:29 +08,111,31.40,61.98,,,,
2021-08-27 19:48:21 +08,112,31.37,62.26,,,,
2021-08-27 19:48:38 +08,113,31.35,62.37,,,,
2021-08-27 19:48:54 +08,114,31.35,62.53,,,,
2021-08-27 19:49:11 +08,115,31.35,62.40,,,,
2021-08-27 20:07:19 +08,116,31.38,63.71,,,,
2021-08-27 20:16:40 +08,117,31.30,62.72,,,,
2021-08-27 20:16:57 +08,118,31.30,62.60,,,,
2021-08-27 20:18:41 +08,119,31.29,62.20,,,,
2021-08-27 20:18:58 +08,120,31.27,62.64,,,,
2021-08-27 20:19:15 +08,121,31.28,62.51,,,,
2021-08-27 20:19:32 +08,122,31.27,62.60,,,,
2021-08-27 20:19:49 +08,123,31.25,60.74,,,,
2021-08-27 20:20:06 +08,124,31.24,61.29,,,,
2021-08-27 20:20:23 +08,125,31.21,60.69,,,,
2021-08-27 20:20:39 +08,126,31.19,61.02,,,,
2021-08-27 20:20:56 +08,127,31.21,61.52,,,,
2021-08-27 20:21:31 +08,128,31.19,61.35,,,,
2021-08-27 20:23:33 +08,129,31.18,60.76,,,,
2021-08-27 20:23:50 +08,130,31.14,60.18,,,,
2021-08-27 20:24:07 +08,131,31.09,60.27,,,,
2021-08-27 20:24:24 +08,132,31.10,60.68,,,,
2021-08-27 20:24:41 +08,133,31.07,60.61,,,,
2021-08-27 20:24:58 +08,134,31.06,60.63,,,,
2021-08-27 20:25:15 +08,135,31.04,60.60,,,,
2021-08-27 20:25:32 +08,136,31.04,60.77,,,,
2021-08-27 20:25:49 +08,137,31.04,60.91,,,,
2021-08-27 20:26:05 +08,138,31.04,60.83,,,,
2021-08-27 20:26:22 +08,139,31.05,60.99,,,,
2021-08-27 20:26:39 +08,140,31.04,60.87,,,,
2021-08-27 20:26:56 +08,141,31.04,60.91,,,,
2021-08-27 20:27:13 +08,142,31.05,60.98,,,,
2021-08-27 20:27:30 +08,143,31.05,60.93,,,,
2021-08-27 20:27:50 +08,144,31.05,61.08,,,,
2021-08-27 20:28:20 +08,145,31.06,60.89,,,,
2021-08-27 20:28:37 +08,146,31.04,60.96,,,,
2021-08-27 20:28:54 +08,147,31.02,60.74,,,,
2021-08-27 20:29:11 +08,148,31.04,60.87,,,,
2021-08-27 20:35:53 +08,149,31.07,60.93,,,,
2021-08-27 20:36:10 +08,150,31.06,61.12,,,,
2021-08-27 20:44:20 +08,151,31.06,61.04,,,,
2021-08-27 20:44:37 +08,152,31.06,61.07,,,,
2021-08-27 20:44:54 +08,153,31.04,60.97,,,,
2021-08-27 20:45:11 +08,154,31.05,61.05,,,,
2021-08-27 20:45:28 +08,155,31.05,61.15,,,,
2021-08-27 20:45:44 +08,156,31.04,60.80,,,,
2021-08-27 20:46:01 +08,157,31.00,60.44,,,,
2021-08-27 20:46:18 +08,158,30.96,60.42,,,,
2021-08-27 20:46:35 +08,159,30.96,60.47,,,,
2021-08-27 20:46:52 +08,160,30.95,60.69,,,,
2021-08-27 20:47:09 +08,161,30.97,60.67,,,,
2021-08-27 20:48:53 +08,162,31.00,60.83,,,,
2021-08-27 20:51:47 +08,163,31.02,61.10,,,,
2021-08-27 20:52:04 +08,164,31.02,61.09,,,,
2021-08-27 20:52:21 +08,165,31.02,61.15,,,,
2021-08-27 20:52:38 +08,166,31.01,61.23,,,,
2021-08-27 20:52:55 +08,167,31.02,61.24,,,,
2021-08-27 20:53:11 +08,168,31.02,61.28,,,,
2021-08-27 20:54:55 +08,169,31.04,61.32,,,,
2021-08-27 20:55:12 +08,170,31.02,61.47,,,,
2021-08-27 20:55:29 +08,171,31.02,61.45,,,,
2021-08-27 20:55:46 +08,172,31.02,61.61,,,,
2021-08-27 21:03:57 +08,173,31.01,63.74,,,,
2021-08-27 21:04:13 +08,174,30.99,63.69,,,,
2021-08-27 21:05:05 +08,175,30.97,63.67,,,,
2021-08-27 21:06:14 +08,176,30.97,63.79,,,,
2021-08-27 21:07:58 +08,177,30.94,64.24,,,,
2021-08-27 21:08:15 +08,178,30.94,63.89,,,,
2021-08-27 21:08:32 +08,179,30.95,63.79,,,,
2021-08-27 21:18:45 +08,180,30.67,61.59,,,,
2021-08-27 21:19:02 +08,181,30.69,61.44,,,,
2021-08-27 21:19:19 +08,182,30.69,61.42,,,,
2021-08-27 21:19:53 +08,183,30.74,61.41,,,,
2021-08-27 21:20:10 +08,184,30.76,61.49,,,,
2021-08-27 21:20:27 +08,185,30.77,61.48,,,,
2021-08-27 21:20:44 +08,186,30.78,61.29,,,,
